,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2019-01-02,sh.600080,28.2584208000,28.4900472000,27.6407504000,27.7951680000,27.6407504000,9857843,71289178.0000,1,3.228947,1,0.558659,0
1,2019-01-03,sh.600080,27.9881900000,28.0653988000,26.9844756000,27.0616844000,27.7951680000,11921703,84632179.0000,1,3.904967,1,-2.638883,0
2,2019-01-04,sh.600080,26.4826184000,27.5249372000,26.0579700000,27.4863328000,27.0616844000,12628000,88327901.0000,1,4.136315,1,1.569182,0
3,2019-01-07,sh.600080,27.6407504000,27.7951680000,27.3705196000,27.6793548000,27.4863328000,10423720,74399468.0000,1,3.414301,1,0.702250,0
4,2019-01-08,sh.600080,27.6407504000,27.6407504000,27.1774976000,27.2161020000,27.6793548000,9268700,65664691.0000,1,3.035973,1,-1.673639,0
5,2019-01-09,sh.600080,27.2547064000,27.6021460000,27.1388932000,27.2547064000,27.2161020000,13171059,93476136.0000,1,4.314195,1,0.141841,0
6,2019-01-10,sh.600080,27.2547064000,27.4091240000,26.4054096000,26.5598272000,27.2547064000,15044798,104778071.0000,1,4.927940,1,-2.549573,0
7,2019-01-11,sh.600080,26.5212228000,26.7528492000,26.2123876000,26.5984316000,26.5598272000,10294400,70680958.0000,1,3.371942,1,0.145345,0
8,2019-01-14,sh.600080,26.6370360000,26.7142448000,26.2123876000,26.2123876000,26.5984316000,8376100,57371372.0000,1,2.743601,1,-1.451378,0
9,2019-01-15,sh.600080,26.2509920000,26.4826184000,26.0193656000,26.4054096000,26.2123876000,10010447,68067587.0000,1,3.278933,1,0.736380,0
10,2019-01-16,sh.600080,26.4440140000,27.2547064000,26.2509920000,26.7528492000,26.4054096000,16572286,115282389.0000,1,5.428271,1,1.315785,0
11,2019-01-17,sh.600080,26.7142448000,26.7142448000,26.1351788000,26.1351788000,26.7528492000,11801500,80511432.0000,1,3.865594,1,-2.308800,0
12,2019-01-18,sh.600080,26.2509920000,26.2895964000,25.7877392000,26.1351788000,26.1351788000,9357821,63158307.0000,1,3.065165,1,0.000000,0
13,2019-01-21,sh.600080,26.2123876000,26.5212228000,26.0965744000,26.4054096000,26.1351788000,9217757,62899001.0000,1,3.019286,1,1.033976,0
14,2019-01-22,sh.600080,26.4440140000,26.4826184000,25.7877392000,25.9421568000,26.4054096000,9746773,65756213.0000,1,3.192566,1,-1.754391,0
15,2019-01-23,sh.600080,25.8263436000,25.9421568000,25.4016952000,25.5561128000,25.9421568000,7826500,52013392.0000,1,2.563579,1,-1.488094,0
16,2019-01-24,sh.600080,25.5947172000,25.6719260000,25.2472776000,25.5175084000,25.5561128000,7531566,49729657.0000,1,2.466973,1,-0.151054,0
17,2019-01-25,sh.600080,25.5175084000,25.7877392000,24.8998380000,25.2472776000,25.5175084000,13311402,87376447.0000,1,4.360164,1,-1.059004,0
18,2019-01-28,sh.600080,25.2472776000,25.3244864000,24.0891456000,24.2435632000,25.2472776000,13126119,84045553.0000,1,4.299475,1,-3.975532,0
19,2019-01-29,sh.600080,24.2435632000,24.3207720000,22.7765960000,23.2784532000,24.2435632000,12479200,75653239.0000,1,4.087576,1,-3.980891,0
20,2019-01-30,sh.600080,23.2784532000,23.9733324000,23.0854312000,23.3942664000,23.2784532000,10028249,61454231.0000,1,3.284764,1,0.497508,0
