,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2019-01-02,sz.399106,1270.5040,1271.9630,1253.9820,1256.3890,1267.8680,14682647808,128669986816.0000,3,0.945511,1,-0.905400,0
1,2019-01-03,sz.399106,1254.1270,1267.3640,1245.5030,1246.3650,1256.3890,17315116288,145238859776.0000,3,1.105263,1,-0.797800,0
2,2019-01-04,sz.399106,1234.6540,1279.4880,1231.8330,1279.4880,1246.3650,23161690368,182962323456.0000,3,1.477805,1,2.657600,0
3,2019-01-07,sz.399106,1287.0740,1302.9200,1283.3600,1301.4060,1279.4880,24868884224,201785667584.0000,3,1.584736,1,1.713000,0
4,2019-01-08,sz.399106,1298.9400,1302.8160,1295.1090,1299.8890,1301.4060,22939399424,176356511744.0000,3,1.461783,1,-0.116600,0
5,2019-01-09,sz.399106,1303.6440,1323.4720,1300.5340,1306.9450,1299.8890,26676795392,218445045760.0000,3,1.699748,1,0.542800,0
6,2019-01-10,sz.399106,1306.0930,1313.9580,1300.7290,1303.4750,1306.9450,22741362944,180671909888.0000,3,1.448847,1,-0.265500,0
7,2019-01-11,sz.399106,1304.8250,1313.3560,1300.4720,1313.3560,1303.4750,21710579456,173750046720.0000,3,1.383232,1,0.758000,0
8,2019-01-14,sz.399106,1313.4880,1315.3050,1300.8180,1303.7500,1313.3560,21593477376,166914293760.0000,3,1.375287,1,-0.731400,0
9,2019-01-15,sz.399106,1301.7810,1323.2660,1298.7080,1323.1610,1303.7500,22311039744,182224551936.0000,3,1.420020,1,1.488900,0
10,2019-01-16,sz.399106,1322.5680,1328.9920,1319.0910,1321.5230,1323.1610,21607643392,177785020416.0000,3,1.374975,1,-0.123800,0
11,2019-01-17,sz.399106,1320.9070,1321.9390,1307.8480,1309.1440,1321.5230,21023804160,166613848064.0000,3,1.337721,1,-0.936700,0
12,2019-01-18,sz.399106,1310.6890,1322.2010,1306.3860,1322.1360,1309.1440,22063081728,175381200896.0000,3,1.403768,1,0.992400,0
13,2019-01-21,sz.399106,1323.7130,1335.3760,1322.4370,1330.1650,1322.1360,20489669376,173201985536.0000,3,1.302799,1,0.607300,0
14,2019-01-22,sz.399106,1329.0280,1329.0280,1310.4610,1314.5840,1330.1650,18846436608,155636682752.0000,3,1.197100,1,-1.171400,0
15,2019-01-23,sz.399106,1310.8190,1317.5130,1309.2770,1316.2810,1314.5840,16848837376,138876653568.0000,3,1.069851,1,0.129100,0
16,2019-01-24,sz.399106,1317.5370,1327.1130,1309.5350,1322.3010,1316.2810,20196841216,169008152576.0000,3,1.281953,1,0.457400,0
17,2019-01-25,sz.399106,1322.8950,1331.7050,1318.6490,1319.9710,1322.3010,21191940608,177486397440.0000,3,1.345034,1,-0.176200,0
18,2019-01-28,sz.399106,1326.8860,1334.3810,1312.3450,1314.9910,1319.9710,20242333184,172300865536.0000,3,1.282967,1,-0.377300,0
19,2019-01-29,sz.399106,1311.1190,1311.1190,1280.0260,1300.3390,1314.9910,20890970368,167051825152.0000,3,1.324077,1,-1.114200,0
20,2019-01-30,sz.399106,1293.5050,1302.7860,1283.7080,1283.7080,1300.3390,16334215424,136185741312.0000,3,1.035003,1,-1.279000,0
21,2019-01-31,sz.399106,1282.9500,1293.6150,1267.2600,1274.7430,1283.7080,20636525056,159830118400.0000,3,1.306386,1,-0.698400,0
22,2019-02-01,sz.399106,1281.1620,1309.9910,1281.1620,1309.9910,1274.7430,18099026432,150222905344.0000,3,1.145542,1,2.765100,0
23,2019-02-11,sz.399106,1312.8070,1347.9760,1312.8070,1347.9360,1309.9910,21162926336,182559019008.0000,3,1.339327,1,2.896600,0
24,2019-02-12,sz.399106,1347.8120,1367.0820,1345.8830,1364.1450,1347.9360,25879923200,208455163904.0000,3,1.633216,1,1.202500,0
25,2019-02-13,sz.399106,1366.2680,1392.5730,1364.2750,1389.6830,1364.1450,31813797632,267037757440.0000,3,2.007668,1,1.872100,0
26,2019-02-14,sz.399106,1390.4880,1404.8630,1385.2410,1398.8420,1389.6830,31020020992,247156301824.0000,3,1.956679,1,0.659100,0
27,2019-02-15,sz.399106,1396.0710,1401.5180,1387.8110,1389.4670,1398.8420,30705861376,248518774784.0000,3,1.933763,1,-0.670200,0
28,2019-02-18,sz.399106,1399.1230,1440.9510,1399.1230,1440.9510,1389.4670,39670109696,323520806912.0000,3,2.497552,1,3.705300,0
29,2019-02-19,sz.399106,1447.2360,1456.1480,1427.4020,1443.5970,1440.9510,43730624256,358713544704.0000,3,2.747849,1,0.183600,0
30,2019-02-20,sz.399106,1444.1750,1449.7510,1431.5910,1448.2380,1443.5970,36567624704,293835321344.0000,3,2.297519,1,0.321500,0
31,2019-02-21,sz.399106,1447.3030,1472.1490,1438.9770,1444.3460,1448.2380,43136235776,365674332160.0000,3,2.708918,1,-0.268700,0
32,2019-02-22,sz.399106,1440.5650,1477.2470,1437.1780,1477.2470,1444.3460,41685050368,357695442944.0000,3,2.617784,1,2.277900,0
33,2019-02-25,sz.399106,1499.8740,1557.2710,1498.0000,1557.2710,1477.2470,64391666432,574588530688.0000,3,4.043744,1,5.417100,0
34,2019-02-26,sz.399106,1561.1420,1581.5680,1541.4350,1549.7050,1557.2710,68952715264,605314809856.0000,3,4.331604,1,-0.485900,0
35,2019-02-27,sz.399106,1546.0020,1563.6160,1523.0010,1540.9180,1549.7050,55038713600,479406145536.0000,3,3.456867,1,-0.567000,0
36,2019-02-28,sz.399106,1539.6090,1556.9360,1535.4360,1546.3300,1540.9180,42168942080,363525910528.0000,3,2.648587,1,0.351200,0
37,2019-03-01,sz.399106,1556.6840,1564.8390,1540.0640,1564.8390,1546.3300,39995929344,357074096128.0000,3,2.511854,1,1.197000,0
38,2019-03-04,sz.399106,1580.6210,1627.9140,1578.8780,1599.4810,1564.8390,60633532672,565949710336.0000,3,3.807541,1,2.213800,0
39,2019-03-05,sz.399106,1595.6830,1635.9800,1589.4830,1635.9800,1599.4810,56348747520,513753186304.0000,3,3.537363,1,2.281900,0
40,2019-03-06,sz.399106,1643.4340,1660.9130,1624.5300,1660.4110,1635.9800,69238812672,620802904064.0000,3,4.346378,1,1.493400,0
41,2019-03-07,sz.399106,1658.2350,1684.3250,1639.6620,1668.5320,1660.4110,68551247872,640923189248.0000,3,4.302922,1,0.489100,0
42,2019-03-08,sz.399106,1630.0920,1673.4040,1605.2780,1605.2780,1668.5320,70948978688,658507091968.0000,3,4.451562,1,-3.791000,0
43,2019-03-11,sz.399106,1615.6680,1667.8170,1609.9120,1667.8170,1605.2780,55851138816,540090847232.0000,3,3.503966,1,3.895800,0
44,2019-03-12,sz.399106,1681.0210,1710.3890,1668.6810,1695.8060,1667.8170,66359243008,650014134272.0000,3,4.163136,1,1.678200,0
